sample_number,date_added,analysis_type,1_liter (1 Bottle Kit),street_number,street_name,city_name,zip_code
LG91209,12/12/2016,Lead,,,,,48505
LG87608,11/17/2016,Lead,,,,,48503
LG86700,11/14/2016,Lead,4,,,FLINT,48503
LG91178,12/12/2016,Lead,,,,FLINT,48505
LG91192,12/12/2016,Lead,,810,8TH ST,FLINT,48504
LG76882,9/26/2016,Lead,0,2305,ADAMS ST,FLINT,48505
LG85321,11/3/2016,Lead,,906,ADDISON ST,FLINT,48503
LG58840,7/12/2016,Lead,32,2408,ALEXANDER ST,FLINT,48507
LG86549,11/10/2016,Lead,,3605,ALEXANDER ST,FLINT,48507
LG91199,12/12/2016,Lead,,703,ALGONQUIN AVE,FLINT,48504
LG64546,8/4/2016,Lead,0,2609,ALPHA WAY,FLINT,48505
LG60209,7/18/2016,Lead,0,2914,ALPHA WAY,FLINT,48506
LG87354,11/17/2016,Lead,0,2508,ALTOONA ST,FLINT,48507
LG75358,9/21/2016,Lead,6,2508,ALTOONA ST,FLINT,48504
LG60671,7/19/2016,Lead,9,2508,ALTOONA ST,FLINT,48502
LG67924,8/18/2016,Lead,39,2508,ALTOONA ST,FLINT,48504
LG81114,10/10/2016,Lead,0,523,ALVORD AVE,FLINT,48504
LG88701,11/28/2016,Lead,,620,ALVORD AVE,FLINT,48503
LG88688,11/28/2016,Lead,,620,ALVORD AVE,FLINT,48503
LG67858,8/18/2016,Lead,0,627,ALVORD AVE,FLINT,48507
LG87422,11/17/2016,Lead,0,627,ALVORD AVE,FLINT,***
LG60617,7/19/2016,Lead,1,627,ALVORD AVE,FLINT,48503
LG75380,9/21/2016,Lead,2,627,ALVORD AVE,FLINT,48502
LG87447,11/17/2016,Lead,4,631,ALVORD AVE,FLINT,48503
LG60621,7/19/2016,Lead,5,631,ALVORD AVE,FLINT,48506
LG67888,8/18/2016,Lead,6,631,ALVORD AVE,FLINT,48503
LG75297,9/21/2016,Lead,7,631,ALVORD AVE,FLINT,48505
LG60612,7/19/2016,Lead,2,635,ALVORD AVE,FLINT,48503
LG68219,8/19/2016,Lead,2,635,ALVORD AVE,FLINT,48507
LG75284,9/21/2016,Lead,2,635,ALVORD AVE,FLINT,48504
LG87391,11/17/2016,Lead,2,635,ALVORD AVE,FLINT,48506
